business_name,location,state,region,phone,email,address,website,notes
Sarres Garden Supplies,Forest Hill,VIC,Melbourne East,(03) 9894 2657,sarres.sales@gmail.com,287 Canterbury Rd Forest Hill VIC 3131,https://www.sarresgardensupplies.com.au/,50+ years; delivers Richmond to Kew
Fultons Building & Garden Supplies,Hawthorn East & Wantirna,VIC,Melbourne East,1300 385 866,wantirna@cfulton.com.au,17 Cato Ln Hawthorn East + 1C Burwood Hwy Wantirna,https://www.cfulton.com.au/,Two yards; Hawthorn (03) 9897 5907 / Wantirna (03) 9897 5960
Wonga Garden Supplies,Warranwood,VIC,Melbourne East,(03) 9876 2344,,214-218 Wonga Rd Warranwood VIC 3134,https://wongags.com.au/,Sand and soil; services Surrey Hills area; open 7 days
Bulleen Art & Garden,Bulleen,VIC,Melbourne East,(03) 8850 3030,,6 Manningham Rd West Bulleen VIC 3105,https://baag.com.au/,Delivers metro-wide; open 7 days
Boundary Garden Supplies,Braeside & Somerville,VIC,Melbourne SE,(03) 9587 2001,sales@gardensupply.com.au,282-284 Boundary Rd Braeside VIC 3195,https://boundarygardensupplies.com.au/,Multi-yard; delivery from $34; took over former Bayside Garden Supplies site (closed Jan 2025)
Mercuri Garden Supplies,Bundoora,VIC,Melbourne North,(03) 9467 3546,joe.battista@mercurigardensupplies.com.au,2 The Concord Bundoora VIC 3083,https://www.mercurigardensupplies.com.au/,Family-owned since 1977; same-day delivery
Somerton Garden & Concrete,Somerton,VIC,Melbourne North,(03) 9305 3557,,150 Somerton Rd Somerton VIC 3062,https://somertongarden.com.au/,3-acre yard; 30km delivery radius; mini-mix concrete
Dalton Building & Garden Supplies,Thomastown,VIC,Melbourne North,(03) 9469 4388,sales@daltonbgs.com.au,1 Dalton Rd Thomastown VIC 3074,https://daltonbgs.com.au/,Second yard at Upper Plenty (03) 5783 1773
All Green Nursery & Garden Supplies,Hoppers Crossing & Epping,VIC,Melbourne West/North,(03) 9749 1688,,130 Old Geelong Rd Hoppers Crossing VIC 3029,https://www.allgreen.com.au/,Two sites; own soil/mulch blends; 14 acres
Deer Park Building & Garden Supplies,Deer Park,VIC,Melbourne West,(03) 9363 0133,admin@dpbgsupplies.com.au,49 Radnor Dr Deer Park VIC 3023,https://dpbgsupplies.com.au/,Delivers metro + country areas
The Green Centre,Keilor Park,VIC,Melbourne NW,(03) 9331 5300,info@thegreencentre.com.au,Stadium Dr Keilor Park VIC,https://www.thegreencentre.com.au/,Family-run 25+ years; turf and firewood delivery
Daisy's Garden Supplies,Ringwood (multi-site),VIC,Melbourne/Geelong,(03) 9870 4322,,383 Canterbury Rd Ringwood VIC 3134,https://daisysgarden.com.au/,Multi-site operator Melbourne + Geelong
Mornington Sand & Soil,Mornington,VIC,Mornington Peninsula,(03) 5975 1255,,371-373 Racecourse Rd Mornington VIC 3931,https://morningtonsandandsoil.com.au/,Peninsula-wide delivery; open 7 days
Peninsula Garden Supplies,Mornington Peninsula,VIC,Mornington Peninsula,,,Mornington Peninsula,https://peninsulagardensupplies.com.au/,Open 7 days; contact via website form - phone not published in directories
Bittern Garden Supplies,Bittern,VIC,Mornington Peninsula,(03) 5983 9779,enquiries@bitterngardensupplies.com.au,Myers Rd Bittern VIC 3918,https://www.bitterngardensupplies.com.au/,Same-day delivery; earthmoving too
Westernport Sand & Soil,Hastings,VIC,Mornington Peninsula,(03) 5979 1134,info@westernportsandandsoil.com.au,1929 Frankston-Flinders Rd Hastings VIC 3915,https://westernportsandandsoil.com.au/,Own delivery fleet; also ready-mix concrete
Lara Garden Supplies,Lara,VIC,Geelong,(03) 5282 1545,,180 Elcho Rd Lara VIC 3212,https://www.laragardensupplies.com.au/,50+ years; earthmoving too; open 7 days
Wallingtons WRG,Wallington,VIC,Geelong/Bellarine,(03) 5250 2056,,370 Grubb Rd Wallington VIC 3222,https://wallingtons.com.au/,Delivery + click & collect; open 7 days
Drysdale Home Timber & Hardware,Drysdale,VIC,Geelong/Bellarine,(03) 5251 2852,sales@drysdalehome.com.au,36 Murradoc Rd Drysdale VIC 3222,https://www.drysdalehome.com.au/,Sand/soil/mulch delivery Mon-Sat
Ballarat Landscape Supplies,Delacombe,VIC,Regional VIC,(03) 5336 1431,office@ballaratlandscapesupplies.com.au,11 Wiltshire Ln Delacombe VIC 3356,https://www.ballaratlandscapesupplies.com.au/,Online ordering + delivery; open 7 days
Ballarat Sand & Soil,Wendouree,VIC,Regional VIC,(03) 5338 1018,,240-256 Ring Rd Wendouree VIC 3355,https://www.ballaratsandandsoil.com.au/,Truck hire too
Ballarat Garden Supplies,Mount Clear,VIC,Regional VIC,(03) 5332 2595,info@ballaratgardensupplies.com.au,14 Elsworth St E Mount Clear VIC 3350,https://www.ballaratgardensupplies.com.au/,
The Soil Yard,Delacombe,VIC,Regional VIC,(03) 5335 5501,info@thesoilyard.com.au,426 Sutton St Delacombe VIC 3350,https://www.thesoilyard.com.au/,20+ years; 7 days in warmer months
DHM Sand Gravel & Soil,Sebastopol,VIC,Regional VIC,(03) 5335 8353,,96-98 Hertford St Sebastopol VIC 3356,https://www.dhmsandgravelandsoil.com.au/,Locally sourced; reliable delivery
